name,team,pos,gp,g,a,ppg,ppa,shg,sha,sog,hit,blk,pim,+/-,w,so,sv,ga
Connor McDavid,EDM,C,82,48,90,13,41,1,1,306,40,30,44,17
Nikita Kucherov,TBL,RW,76,44,86,8,29,1,0,231,36,29,50,43
Nathan MacKinnon,COL,C,80,53,74,11,19,0,0,350,64,35,39,57
Macklin Celebrini,SJS,C,82,45,70,8,25,0,0,287,53,53,44,8
Mark Scheifele,WPG,C,82,36,67,7,15,0,1,175,32,47,43,0
Nick Suzuki,MTL,C,82,29,72,11,32,1,0,183,62,62,28,37
David Pastrnak,BOS,RW,77,29,71,10,23,0,0,261,86,32,72,4
Martin Necas,COL,C,78,38,62,9,15,0,0,206,85,26,30,47
Leon Draisaitl,EDM,C,65,35,62,16,26,1,0,186,34,15,26,13
Jason Robertson,DAL,LW,82,45,51,15,26,0,0,294,48,34,32,22
Evan Bouchard,EDM,D,82,21,74,7,26,0,2,221,29,101,30,25
Kyle Connor,WPG,LW,82,39,53,5,14,2,1,274,36,19,16,-2
Jack Eichel,VGK,C,74,27,63,1,27,1,2,260,35,40,18,23
Kirill Kaprizov,MIN,LW,78,45,44,19,13,0,0,269,52,27,28,10
Cole Caufield,MTL,RW,81,51,37,11,18,0,0,258,50,21,14,29
Clayton Keller,UTA,RW,82,26,62,3,24,0,0,225,8,32,38,21
Jake Guentzel,TBL,C,81,38,50,8,22,2,0,220,39,41,61,13
Wyatt Johnston,DAL,C,82,45,41,27,15,0,0,206,56,55,32,-5
Matt Boldy,MIN,LW,76,42,43,11,19,4,0,254,60,58,30,18
Alex DeBrincat,DET,RW,82,41,44,15,8,0,0,287,38,39,19,8
Artemi Panarin,LAK,LW,78,28,56,4,19,0,0,224,11,16,20,-7
Tim Stützle,OTT,C,80,34,49,9,20,2,0,194,126,44,39,7
Tage Thompson,BUF,C,81,40,41,6,18,0,1,272,85,48,35,-6
Zach Werenski,CBJ,D,75,22,59,4,17,0,1,260,30,94,18,7
Sebastian Aho,CAR,C,79,27,53,7,20,2,4,195,63,23,46,11
Mitch Marner,VGK,RW,81,24,56,5,19,0,1,165,24,46,24,17
Cale Makar,COL,D,75,20,59,4,25,0,0,199,35,118,24,32
William Nylander,TOR,RW,65,30,49,7,15,0,0,156,13,26,16,-14
Mika Zibanejad,NYR,C,81,34,44,16,19,2,0,215,105,50,14,-20
Lane Hutson,MTL,D,82,12,66,2,18,0,0,124,31,137,34,36
Mikko Rantanen,DAL,RW,64,22,55,6,28,0,0,139,48,30,93,0
Jack Hughes,NJD,C,61,27,50,4,19,1,1,228,4,32,10,0
Quinn Hughes,MIN,D,74,7,69,2,32,0,0,187,7,87,32,-4
Lucas Raymond,DET,LW,80,25,51,7,20,0,0,173,43,29,22,1
Connor Bedard,CHI,C,69,30,45,7,14,0,0,226,31,27,50,-18
Filip Forsberg,NSH,LW,82,40,35,11,15,0,0,246,124,33,34,-2
Brandon Hagel,TBL,LW,71,36,38,5,7,1,0,214,42,38,58,34
Rasmus Dahlin,BUF,D,77,19,55,6,16,0,0,194,67,79,76,18
Sidney Crosby,PIT,C,68,29,45,10,13,0,0,160,60,30,44,0
Ryan O'Reilly,NSH,C,81,25,49,5,15,2,1,154,17,66,22,8
Nick Schmaltz,UTA,C,82,33,41,11,9,2,0,206,23,52,28,17
Adrian Kempe,LAK,RW,81,36,37,4,8,0,2,226,127,39,58,14
Mark Stone,VGK,RW,60,28,45,9,18,1,1,130,31,47,9,26
Juraj Slafkovský,MTL,LW,82,30,43,15,13,0,0,180,105,78,52,9
Dylan Guenther,UTA,RW,79,40,33,9,15,0,0,242,66,28,28,7
Mathew Barzal,NYI,C,81,19,53,2,18,0,0,184,29,50,61,10
John Tavares,TOR,C,82,31,40,12,9,0,0,192,74,24,28,-28
Nikolaj Ehlers,CAR,LW,82,26,45,10,19,0,0,207,21,24,14,8
Drake Batherson,OTT,RW,79,33,38,13,17,0,0,167,122,22,33,-7
Jesper Bratt,NJD,LW,82,22,49,5,15,1,1,178,74,24,12,-11
Darren Raddysh,TBL,D,73,22,48,10,16,0,0,212,67,69,72,21
Andrei Svechnikov,CAR,RW,79,31,39,12,17,0,0,203,148,16,66,1
Cutter Gauthier,ANA,LW,76,41,28,11,8,0,0,285,64,20,28,-2
Gabriel Vilardi,WPG,C,82,30,39,13,11,0,0,150,20,35,24,-12
Travis Konecny,PHI,RW,77,27,41,2,12,1,1,168,108,38,59,14
Morgan Geekie,BOS,C,81,39,29,12,12,0,0,181,110,34,22,-5
Kirill Marchenko,CBJ,RW,76,27,40,6,17,1,0,218,61,40,32,7
