Connor McDavid, Team 1
Nathan MacKinnon, Team 2
Macklin Celebrini, Team 3
Nikita Kucherov, Team 4
Leon Draisaitl, Team 5
Jason Robertson, Team 6
Cale Makar, Team 7
Kirill Kaprizov, Team 8
Auston Matthews, Team 9
Quinn Hughes, Team 10
Martin Necas, Team 11
Evan Bouchard, Team 12
Nick Suzuki, Team 12
Zach Werenski, Team 11
David Pastrnak, Team 10
Cole Caufield, Team 9
Jack Eichel, Team 8
Wyatt Johnston, Team 7
Matthew Schaefer, Team 6
Mikko Rantanen, Team 5
Matt Boldy, Team 4
Jack Hughes, Team 3
Kyle Connor, Team 2
Rasmus Dahlin, Team 1
Jakob Chychrun, Team 1
Mark Scheifele, Team 2
Tage Thompson, Team 3
Jake Guentzel, Team 4
Mitch Marner, Team 5
Lane Hutson, Team 6
Brandon Hagel, Team 7
William Nylander, Team 8
Andrei Vasilevskiy, Team 9
Brady Tkachuk, Team 10
Cutter Gauthier, Team 11
Dylan Guenther, Team 12
Jake Oettinger, Team 12
Leo Carlsson, Team 11
Matthew Tkachuk, Team 10
Darren Raddysh, Team 9
Moritz Seider, Team 8
Clayton Keller, Team 7
Alex DeBrincat, Team 6
Adam Fox, Team 5
Logan Thompson, Team 4
Ilya Sorokin, Team 3
Artemi Panarin, Team 2
Dylan Larkin, Team 1
Filip Forsberg, Team 1
Adrian Kempe, Team 2
Tim Stützle, Team 3
Connor Hellebuyck, Team 4
Jake Sanderson, Team 5
Sebastian Aho, Team 6
Juraj Slafkovský, Team 7
Sam Reinhart, Team 8
Sidney Crosby, Team 9
Igor Shesterkin, Team 10
Will Smith, Team 11
Pavel Dorofeyev, Team 12
Aleksander Barkov, Team 12
Miro Heiskanen, Team 11
Kirill Marchenko, Team 10
Jesper Bratt, Team 9
Brayden Point, Team 8
Robert Thomas, Team 7
Nick Schmaltz, Team 6
Jesper Wallstedt, Team 5
Connor Bedard, Team 4
Ivan Demidov, Team 3
Mika Zibanejad, Team 2
Scott Wedgewood, Team 1
